ubigeo,g_factor_tasa_paralizacion,g_factor_ratio_sobretiempo_promedio,g_factor_ratio_sobrecosto_promedio,s_factor_total_muertes,s_factor_edad_prom_muerte,s_factor_tasa_prevenibles,g_score,s_score,iris_score,ubigeo_code
AMAZONAS_BAGUA_ARAMANGO,0.0652173913043478,0.0391427668789784,0.0004031556438205,0.0048112760046079,0.4709463198671832,0.0,0.0349211046090489,0.158585865290597,0.096753484949823,010202
AMAZONAS_BAGUA_BAGUA,0.0254237288135593,0.0457985120932427,0.0003908678413641,0.0197872196245849,0.4118920248416653,0.0,0.0238710362493887,0.1438930814887501,0.0838820588690694,010201
AMAZONAS_BAGUA_COPALLIN,0.0,0.0308926206522688,0.0,0.0023717557769194,0.4212179552132939,0.0,0.0102975402174229,0.1411965703300711,0.075747055273747,010203
AMAZONAS_BAGUA_EL PARCO,0.0,0.0365781179169145,0.0,0.0010164667615368,0.408679508006498,0.0,0.0121927059723048,0.1365653249226782,0.0743790154474915,010204
AMAZONAS_BAGUA_IMAZA,0.1181102362204724,0.0765376747650268,0.0009202342085841,0.0025750491292268,0.6602821638792862,0.0,0.0651893817313611,0.220952404336171,0.143070893033766,010205
AMAZONAS_BAGUA_LA PECA,0.1551724137931034,0.0424290228131778,0.0005018594548244,0.0064037405976824,0.4224914804998108,0.0,0.0660344320203685,0.1429650736991644,0.1044997528597665,010206
AMAZONAS_BONGARA_CHISQUILLA,0.0,0.0363333794861973,0.0006223909157365,0.0003388222538456,0.5068672334859385,0.0,0.0123185901339779,0.1690686852465947,0.0906936376902863,010302
AMAZONAS_BONGARA_CHURUJA,0.0,0.0330401386374756,0.0,0.0002710578030765,0.5011990407673863,0.0,0.0110133795458252,0.1671566995234875,0.0890850395346564,010303
AMAZONAS_BONGARA_COROSHA,0.2857142857142857,0.076140029812885,0.0,0.0004065867046147,0.6126175982291091,0.0,0.1206181051757235,0.2043413949779079,0.1624797500768157,010304
AMAZONAS_BONGARA_CUISPES,0.0666666666666666,0.0438140667844878,0.0,0.0003388222538456,0.6128188358404185,0.0,0.0368269111503848,0.2043858860314213,0.1206063985909031,010305
AMAZONAS_BONGARA_FLORIDA,0.1607142857142857,0.0357532448715493,0.0013326582899202,0.0038286914684556,0.3891202827211915,0.0,0.0659333962919184,0.130982991396549,0.0984581938442337,010306
AMAZONAS_BONGARA_JAZAN,0.0294117647058823,0.1817991642160428,0.0019447862190078,0.0066747984007589,0.386236465373156,0.0,0.0710519050469776,0.1309704212579716,0.1010111631524746,010307
AMAZONAS_BONGARA_JUMBILLA,0.0434782608695652,0.0590868791769466,0.0004724402904182,0.001626346818459,0.3560416972544413,0.0,0.03434586011231,0.1192226813576334,0.0767842707349717,010301
AMAZONAS_BONGARA_RECTA,0.0,0.0207469220845661,0.0013662902550234,0.000304940028461,0.2992805755395682,0.0,0.0073710707798631,0.0998618385226764,0.0536164546512698,010308
AMAZONAS_BONGARA_SAN CARLOS,0.0,0.1295156815266399,0.0,0.0003388222538456,0.3015042511445387,0.0,0.0431718938422132,0.1006143577994614,0.0718931258208373,010309
AMAZONAS_BONGARA_SHIPASBAMBA,0.0,0.0504716290648641,0.0,0.0005082333807684,0.335431654676259,0.0,0.0168238763549547,0.1119799626856758,0.0644019195203152,010310
AMAZONAS_BONGARA_VALERA,0.0,0.1014741149992289,0.0005721078596056,0.0006098800569221,0.4017417644831502,0.0,0.0340154076196115,0.1341172148466907,0.0840663112331511,010311
AMAZONAS_BONGARA_YAMBRASBAMBA,0.0434782608695652,0.0529054155587124,0.000880171379252,0.0022362268753811,0.5728551487168474,0.0,0.0324212826025099,0.1916971251974095,0.1120592038999597,010312
AMAZONAS_CHACHAPOYAS_ASUNCION,0.0,0.0223464512587312,0.0,0.0001355289015382,0.6489208633093526,0.0,0.0074488170862437,0.2163521307369636,0.1119004739116036,010102
AMAZONAS_CHACHAPOYAS_BALSAS,0.0,0.0221354892944954,0.0,0.0004404689299993,0.6896197327852005,0.0,0.0073784964314984,0.2300200672383999,0.1186992818349492,010103
AMAZONAS_CHACHAPOYAS_CHACHAPOYAS,0.0153846153846153,0.0442054051808007,0.0004588546772637,0.0352713966253303,0.4211325757052706,0.0,0.0200162917475599,0.1521346574435336,0.0860754745955468,010101
AMAZONAS_CHACHAPOYAS_CHETO,0.0,0.0582638093393647,0.0018252199799193,0.0007454089584603,0.2968407882389741,0.0,0.0200296764397613,0.0991953990658114,0.0596125377527864,010104
AMAZONAS_CHACHAPOYAS_CHILIQUIN,0.0,0.0866679957857949,0.0019320501104627,0.0004404689299993,0.3072970195272353,0.0,0.0295333486320858,0.1025791628190782,0.066056255725582,010105
AMAZONAS_CHACHAPOYAS_CHUQUIBAMBA,0.1052631578947368,0.0513005973895532,0.0012977042439625,0.0007454089584603,0.4169533938066938,0.0,0.0526204865094175,0.1392329342550514,0.0959267103822344,010106
AMAZONAS_CHACHAPOYAS_GRANADA,0.0625,0.0375832928433496,0.0,0.0036931625669173,0.3928621808435604,0.0,0.0333610976144498,0.1321851144701592,0.0827731060423045,010107
AMAZONAS_CHACHAPOYAS_HUANCAS,0.0,0.0514982992796976,0.0004263947031616,0.0004404689299993,0.5354573484069887,0.0,0.0173082313276197,0.1786326057789959,0.0979704185533078,010108
AMAZONAS_CHACHAPOYAS_LA JALCA,0.1,0.0360717805665132,0.0012974509192169,0.0033204580876871,0.4488772618269019,0.0,0.0457897438285767,0.150732573304863,0.0982611585667198,010109
AMAZONAS_CHACHAPOYAS_LEIMEBAMBA,0.0333333333333333,0.0341255774971739,0.0,0.0033204580876871,0.3496112201148171,0.0,0.022486303610169,0.1176438927341681,0.0700650981721686,010110
AMAZONAS_CHACHAPOYAS_LEVANTO,0.0909090909090909,0.0229506038379632,0.00277162621773,0.0007792911838449,0.3830935251798562,0.0,0.0388771069882613,0.127957605454567,0.0834173562214142,010111
AMAZONAS_CHACHAPOYAS_MAGDALENA,0.0,0.0236472806160622,0.0004072253488825,0.0002710578030765,0.3045563549160672,0.0,0.0080181686549815,0.1016091375730479,0.0548136531140147,010112
AMAZONAS_CHACHAPOYAS_MARISCAL CASTILLA,0.0,0.0427329326678061,0.0003637254794086,0.0013214067899979,0.4669064748201439,0.0,0.0143655527157382,0.1560759605367139,0.0852207566262261,010113
AMAZONAS_CHACHAPOYAS_MOLINOPAMPA,0.0666666666666666,0.0429470027715166,0.0,0.0011858778884597,0.5527577937649879,0.0,0.0365378898127277,0.1846478905511492,0.1105928901819384,010114
AMAZONAS_CHACHAPOYAS_MONTEVIDEO,0.0,0.0213553021408476,0.0010930322040187,0.0004743511553838,0.3851318944844124,0.0,0.0074827781149554,0.1285354152132654,0.0680090966641104,010115
AMAZONAS_CHACHAPOYAS_OLLEROS,0.0,0.0860304440455309,0.0004435054863163,0.0002710578030765,0.2949640287769783,0.0,0.028824649843949,0.0984116955266849,0.063618172685317,010116
AMAZONAS_CHACHAPOYAS_QUINJALCA,0.0,0.0491688063685044,0.0017692103786294,0.0002710578030765,0.3253397282174259,0.0,0.0169793389157113,0.1085369286735008,0.062758133794606,010117
AMAZONAS_CHACHAPOYAS_SAN FRANCISCO DE DAGUAS,0.0,0.0851999018199737,0.0014154683528754,0.0002032933523073,0.4306269270298046,0.0,0.0288717900576164,0.143610073460704,0.0862409317591602,010118
AMAZONAS_CHACHAPOYAS_SAN ISIDRO DE MAINO,0.0476190476190476,0.0291468031207177,0.0,0.0004743511553838,0.3074340527577937,0.0,0.0255886169132551,0.1026361346377258,0.0641123757754904,010119
AMAZONAS_CHACHAPOYAS_SOLOCO,0.0769230769230769,0.071636983609767,0.0013240762635762,0.0013214067899979,0.3633093525179856,0.0,0.04996137893214,0.1215435864359945,0.0857524826840673,010120
AMAZONAS_CHACHAPOYAS_SONCHE,0.0,0.0298194516109716,0.0038865786097099,0.000304940028461,0.3870503597122303,0.0,0.0112353434068938,0.1291184332468971,0.0701768883268954,010121
AMAZONAS_CONDORCANQUI_EL CENEPA,0.0816326530612244,0.0502676458121934,0.0005474444248608,0.0003388222538456,0.9123610202746892,0.0,0.0441492477660929,0.304233280842845,0.1741912643044689,010402
AMAZONAS_CONDORCANQUI_NIEVA,0.0330578512396694,0.0309156479075379,0.0008352438061961,0.0028799891576878,0.7682784005353858,0.0,0.0216029143178011,0.2570527965643578,0.1393278554410795,010401
AMAZONAS_CONDORCANQUI_RIO SANTIAGO,0.0238095238095238,0.0393414174877022,0.0017489511321004,0.0008809378599986,0.7804423128164135,0.0,0.0216332974764421,0.2604410835588041,0.1410371905176231,010403
AMAZONAS_LUYA_CAMPORREDONDO,0.0384615384615384,0.0523888958814148,0.0008347212813272,0.0020668157484583,0.4850313297748898,0.0,0.0305617185414268,0.1623660485077827,0.0964638835246047,010502
AMAZONAS_LUYA_COCABAMBA,0.0,0.0399981857344135,0.0,0.0008809378599986,0.5507593924860112,0.0,0.0133327285781378,0.1838801101153366,0.0986064193467372,010503
AMAZONAS_LUYA_COLCAMAR,0.032258064516129,0.0553910770920877,0.0004726667486555,0.0006776445076912,0.4141829393627956,0.0,0.0293739361189574,0.1382868612901623,0.0838303987045598,010504
AMAZONAS_LUYA_CONILA,0.0,0.0563342164596042,0.0,0.0008131734092295,0.4515107913669065,0.0,0.0187780721532014,0.1507746549253787,0.08477636353929,010505
AMAZONAS_LUYA_INGUILPATA,0.0,0.0783527141018183,0.0067908774618893,0.0003388222538456,0.3289731850882929,0.0,0.0283811971879025,0.1097706691140461,0.0690759331509743,010506
AMAZONAS_LUYA_JESUS MARIA,0.3333333333333333,0.0365991279668754,0.0,0.0036931625669173,0.3928621808435604,0.0,0.1233108204334029,0.1321851144701592,0.127747967451781,
AMAZONAS_LUYA_LAMUD,0.0,0.0432319993601261,0.0005491959400857,0.003794809243071,0.2498885847074552,0.0,0.0145937317667372,0.0845611313168421,0.0495774315417896,010501
AMAZONAS_LUYA_LONGUITA,0.1818181818181818,0.0267540737873359,0.0010039986728781,0.0001694111269228,0.5851318944844124,0.0,0.069858751426132,0.1951004352037784,0.1324795933149552,010507
AMAZONAS_LUYA_LONYA CHICO,0.0,0.034763609391029,0.0015241063785911,0.0007792911838449,0.2931654676258992,0.0,0.01209590525654,0.0979815862699147,0.0550387457632274,010508
AMAZONAS_LUYA_LUYA,0.0263157894736842,0.0538980466220638,0.0009138700891963,0.0024734024530731,0.3801283297686175,0.0,0.0270425687283148,0.1275339107405635,0.0772882397344391,010509
AMAZONAS_LUYA_LUYA VIEJO,0.0625,0.0304127505445785,0.0024894817188885,0.0004404689299993,0.6382322713257964,0.0,0.0318007440878223,0.2128909134185985,0.1223458287532104,010510
AMAZONAS_LUYA_MARIA,0.0,0.0333267135361998,0.0012428515491339,0.000304940028461,0.3165467625899281,0.0,0.0115231883617779,0.1056172342061297,0.0585702112839538,010511
AMAZONAS_LUYA_OCALLI,0.0588235294117647,0.0431897464713031,0.0013689121748969,0.0011858778884597,0.417665867306155,0.0,0.0344607293526549,0.1396172483982049,0.0870389888754299,010512
AMAZONAS_LUYA_OCUMAL,0.0408163265306122,0.0329044379601981,0.0028142512040467,0.0019651690723046,0.4178758687964883,0.0,0.0255116718982857,0.139947012622931,0.0827293422606083,010513
AMAZONAS_LUYA_PISUQUIA,0.0967741935483871,0.0501218740461909,0.0012227357198266,0.0015247001423053,0.5580231467000312,0.0,0.0493729344381349,0.1865159489474455,0.1179444416927902,010514
AMAZONAS_LUYA_PROVIDENCIA,0.0,0.033818039215593,0.0,0.0004404689299993,0.4182939362795477,0.0,0.011272679738531,0.139578135069849,0.07542540740419,010515
AMAZONAS_LUYA_SAN CRISTOBAL,0.0,0.0369575794059295,0.0,0.000542115606153,0.4828607702073635,0.0,0.0123191931353098,0.1611342952711721,0.086726744203241,010516
AMAZONAS_LUYA_SAN FRANCISCO DE YESO,0.0,0.0247960975938928,0.0020339635210539,0.0009825845361523,0.305515587529976,0.0,0.0089433537049822,0.1021660573553761,0.0555547055301791,010517
AMAZONAS_LUYA_SAN JERONIMO,0.0555555555555555,0.0235717883307068,0.0049777097987213,0.0008131734092295,0.3997122302158273,0.0,0.0280350178949945,0.1335084678750189,0.0807717428850067,010518
AMAZONAS_LUYA_SAN JUAN DE LOPECANCHA,0.0,0.0721361448963563,0.0,0.0003727044792301,0.1978417266187049,0.0,0.0240453816321187,0.066071477032645,0.0450584293323819,010519
AMAZONAS_LUYA_SANTA CATALINA,0.0,0.0688204835958546,0.0020058586527242,0.0005082333807684,0.6214028776978417,0.0,0.0236087807495262,0.20730370369287,0.1154562422211981,010520
AMAZONAS_LUYA_SANTO TOMAS,0.0256410256410256,0.0505544887008741,0.0002989639729199,0.0026089313546113,0.3515956465596752,0.0,0.0254981594382732,0.1180681926380955,0.0717831760381843,010521
AMAZONAS_LUYA_TINGO,0.0714285714285714,0.0427323115487708,0.0,0.0008131734092295,0.3945323741007194,0.0,0.038053627659114,0.1317818491699829,0.0849177384145485,010522
AMAZONAS_LUYA_TRITA,0.0,0.0430290051598401,0.0,0.0008131734092295,0.4141007194244603,0.0,0.0143430017199467,0.1383046309445633,0.076323816332255,010523
AMAZONAS_RODRIGUEZ DE MENDOZA_CHIRIMOTO,0.0714285714285714,0.0841031600054815,0.0010275649319,0.0006776445076912,0.4874957177115451,0.0,0.0521864321219843,0.1627244540730787,0.1074554430975315,010602
AMAZONAS_RODRIGUEZ DE MENDOZA_COCHAMAL,0.0,0.0510676990108137,0.0,0.0001016466761536,0.2769784172661869,0.0,0.0170225663369379,0.0923600213141135,0.0546912938255257,010603
AMAZONAS_RODRIGUEZ DE MENDOZA_HUAMBO,0.0,0.1132991691191646,0.0027143071867294,0.0032865758623026,0.2438702099544853,0.0,0.0386711587686313,0.0823855952722626,0.060528377020447,010604
AMAZONAS_RODRIGUEZ DE MENDOZA_LIMABAMBA,0.0454545454545454,0.0288716742222409,0.0004946258408268,0.0009148200853832,0.4213771839671121,0.0,0.0249402818392043,0.1407640013508317,0.082852141595018,010605
AMAZONAS_RODRIGUEZ DE MENDOZA_LONGAR,0.0476190476190476,0.0325065953106682,0.0013364966429837,0.0010164667615368,0.2063123694592712,0.0,0.0271540465242331,0.0691096120736027,0.0481318292989179,010606
AMAZONAS_RODRIGUEZ DE MENDOZA_MARISCAL BENAVIDES,0.0,0.0434055851774212,0.0006943943154215,0.0011519956630751,0.3216855087358685,0.0,0.0146999931642809,0.1076125014663145,0.0611562473152977,010607
